epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.027723807841539383,,,,,
0,99,,0.024432139471173286,,,,,
0,149,,0.02113267593085766,,,,,
0,170,,,0.030050024390220642,3612.640380859375,0.03926726058125496,1.6854426860809326,0.022098923102021217
0,170,0.023004112765192986,,,,,,
1,199,,0.03232657164335251,,,,,
1,249,,0.02245096117258072,,,,,
1,299,,0.022533569484949112,,,,,
1,341,,,0.03000243939459324,4191.849609375,0.03921591863036156,1.6611353158950806,0.022024428471922874
1,341,0.022564571350812912,,,,,,
2,349,,0.02236466482281685,,,,,
2,399,,0.019427334889769554,,,,,
2,449,,0.02709117718040943,,,,,
2,499,,0.020690878853201866,,,,,
2,512,,,0.029991816729307175,3839.48828125,0.03919157013297081,1.6695935726165771,0.021871501579880714
2,512,0.02246791496872902,,,,,,
3,549,,0.025239448994398117,,,,,
3,599,,0.0215220395475626,,,,,
3,649,,0.018295859917998314,,,,,
3,683,,,0.03003682941198349,6369.822265625,0.03925374522805214,1.65207040309906,0.021862225607037544
3,683,0.022379746660590172,,,,,,
4,699,,0.02340163290500641,,,,,
4,749,,0.01874028891324997,,,,,
4,799,,0.0198386050760746,,,,,
4,849,,0.018935244530439377,,,,,
4,854,,,0.030135374516248703,5946.06884765625,0.03932392597198486,1.66373610496521,0.021918632090091705
4,854,0.022353217005729675,,,,,,
5,899,,0.024691471830010414,,,,,
5,949,,0.02286556549370289,,,,,
5,999,,0.022356098517775536,,,,,
5,1025,,,0.030103536322712898,7712.88037109375,0.03934691846370697,1.6569833755493164,0.022031500935554504
5,1025,0.022261524572968483,,,,,,
6,1049,,0.019373072311282158,,,,,
6,1099,,0.021010758355259895,,,,,
6,1149,,0.02090728096663952,,,,,
6,1196,,,0.029976865276694298,5857.43896484375,0.03910490497946739,1.667578935623169,0.021883053705096245
6,1196,0.022190213203430176,,,,,,
7,1199,,0.020588360726833344,,,,,
7,1249,,0.019188806414604187,,,,,
7,1299,,0.019035032019019127,,,,,
7,1349,,0.02370430715382099,,,,,
7,1367,,,0.030101923272013664,6429.58447265625,0.039267729967832565,1.6835271120071411,0.021986888721585274
7,1367,0.022091401740908623,,,,,,
8,1399,,0.033034708350896835,,,,,
8,1449,,0.01924552023410797,,,,,
8,1499,,0.024836163967847824,,,,,
8,1538,,,0.030047385022044182,6527.53515625,0.039257198572158813,1.7049486637115479,0.02204061672091484
8,1538,0.021975619718432426,,,,,,
9,1549,,0.021763695403933525,,,,,
9,1599,,0.018147792667150497,,,,,
9,1649,,0.022226061671972275,,,,,
9,1699,,0.023913051933050156,,,,,
9,1709,,,0.0303010456264019,8397.787109375,0.03962070494890213,1.6572023630142212,0.02203521691262722
9,1709,0.021782388910651207,,,,,,
10,1749,,0.02459024265408516,,,,,
10,1799,,0.01768612489104271,,,,,
10,1849,,0.019689807668328285,,,,,
10,1880,,,0.030051205307245255,9249.658203125,0.03932387754321098,1.6437270641326904,0.022025253623723984
10,1880,0.02164466865360737,,,,,,
11,1899,,0.020777437835931778,,,,,
11,1949,,0.02430551126599312,,,,,
11,1999,,0.023848848417401314,,,,,
11,2049,,0.01875269040465355,,,,,
11,2051,,,0.030249180272221565,10010.51953125,0.03961154818534851,1.6090914011001587,0.022058535367250443
11,2051,0.021541599184274673,,,,,,
